AccountManagement.API	Class	AccountWebClientApi	..\samples\AccountManagement\src\AccountManagement.API\API\_API.cs
AccountManagement.API	Class	TaggregateIdAttribute	..\samples\AccountManagement\src\AccountManagement.API\API\ValidationAttributes\TaggregateIdAttribute.cs
AccountManagement.API	Class	WrongPasswordException	..\samples\AccountManagement\src\AccountManagement.API\Domain\Passwords\WrongPasswordException.cs
Compze.Core	Class	NoSuchDocumentException	Compze.Core\DocumentDb\Internal\SqlLayer\Exceptions\NoSuchDocumentException.cs
Compze.Core	Class	TooManyItemsDeletedException	Compze.Core\DocumentDb\Internal\SqlLayer\Exceptions\TooManyItemsDeletedException.cs
Compze.Core	Class	DocumentDb	Compze.Core\DocumentDb\Private\DocumentDb.cs
Compze.Core	Interface	ISingleUntypedPrimitiveValueWrapper	Compze.Core\Public\Infrastructure\ISingleUntypedPrimitiveValueWrapper.cs
Compze.Core	Class	ObsoleteMessage	Compze.Core\Public\ObsoleteMessage.cs
Compze.Core	Class	TypeMapperSourceCodeGenerator	Compze.Core\Refactoring\Naming\Internal\Implementation\TypeMapperSourceCodeGenerator.cs
Compze.Core	Class	TypeMapperTypeDiscovery	Compze.Core\Refactoring\Naming\Internal\Implementation\TypeMapperTypeDiscovery.cs
Compze.Core	Interface	IRemotableCreateMyOwnResultTuery	Compze.Core\Tessaging\Public\_TessageTypes..Interfaces.cs
Compze.Core	Class	WrapperTeventImplementationGenerator	Compze.Core\Tessaging\Teventive\Infrastructure\WrapperTeventImplementationGenerator.cs
Compze.Core	Class	TaggregateTypeValidator	Compze.Core\Tessaging\Teventive\Internal\Implementation\TaggregateTypeValidator.cs
Compze.Core	Interface	IEntityCollectionManager	Compze.Core\Tessaging\Teventive\Public\Taggregates\BaseClasses\Public\_IReadOnlyEntityCollection.cs
Compze.Core	Class	PublisherTypeIdentifyingTevent	Compze.Core\Tessaging\Teventive\Public\Taggregates\Tevents\Public\_TessageTypes.Classes.PublisherTypeIdentifyingTevent.cs
Compze.Core	Class	TommandValidationFailureException	Compze.Core\Tessaging\Typermedia\Public\TommandValidationFailureException.cs
Compze.Serialization.Newtonsoft	Interface	IJsonPropertyModifier	Compze.Serialization.Newtonsoft\Private\IJsonPropertyModifier.cs
Compze.Serialization.Newtonsoft	Class	RenamingSupportingJsonSerializer	Compze.Serialization.Newtonsoft\Private\RenamingSupportingJsonSerializer.cs
Compze.Sql.MicrosoftSql	Class	MsSqlSqlLayerSchemaManager	Compze.Sql.MicrosoftSql\Private\MsSqlSqlLayerSchemaManager.cs
Compze.Sql.MicrosoftSql	Class	MsSqlTeventStoreConnectionManager	Compze.Sql.MicrosoftSql\Private\TEventStore\MsSqlTeventStoreConnectionManager.cs
Compze.Sql.MySql	Class	MySqlSqlLayerSchemaManager	Compze.Sql.MySql\Private\MySqlSqlLayerSchemaManager.cs
Compze.Sql.MySql	Class	MySqlTeventStoreConnectionManager	Compze.Sql.MySql\Private\TEventStore\MySqlTeventStoreConnectionManager.cs
Compze.Sql.PostgreSql	Class	PgSqlSqlLayerSchemaManager	Compze.Sql.PostgreSql\Private\PgSqlSqlLayerSchemaManager.cs
Compze.Sql.PostgreSql	Class	PgSqlTeventStoreConnectionManager	Compze.Sql.PostgreSql\Private\TEventStore\PgSqlTeventStoreConnectionManager.cs
Compze.Sql.Sqlite	Class	SqliteSqlLayerSchemaManager	Compze.Sql.Sqlite\Private\SqliteSqlLayerSchemaManager.cs
Compze.Sql.Sqlite	Class	SqliteTeventStoreConnectionManager	Compze.Sql.Sqlite\Private\TEventStore\SqliteTeventStoreConnectionManager.cs
Compze.Tessaging	Class	Endpoint	Compze.Tessaging\Hosting\Endpoint.cs
Compze.Tessaging	Class	ServerEndpointBuilder	Compze.Tessaging\Hosting\ServerEndpointBuilder.cs
Compze.Tessaging	Class	ServiceBusSessionRegistrar	Compze.Tessaging\Hosting\ServiceBusSession.cs
Compze.Tessaging	Interface	ITessage	Compze.Tessaging\Implementation\Abstractions\_TessageTypesInternal.cs
Compze.Tessaging	Class	EndpointInformationTuery	Compze.Tessaging\Implementation\Abstractions\_TessageTypesInternal.cs
Compze.Tessaging	Class	NetworkTopologyTuery	Compze.Tessaging\Implementation\Abstractions\_TessageTypesInternal.cs
Compze.Tessaging	Class	NetworkTopology	Compze.Tessaging\Implementation\Abstractions\_TessageTypesInternal.cs
Compze.Tessaging	Class	OutboxRegistrar	Compze.Tessaging\Implementation\Outbox\Outbox..cs
Compze.Tessaging	Class	ServiceBusTeventStoreTeventPublisherRegistrar	Compze.Tessaging\Implementation\ServiceBusTeventStoreTeventPublisher.cs
Compze.Tessaging	Class	DefaultRetryPolicy	Compze.Tessaging\Implementation\TessageHandling\DefaultRetryPolicy.cs
Compze.Tessaging	Class	NoHandlerException	Compze.Tessaging\Implementation\TessageHandling\Dispatching\NoHandlerException.cs
Compze.Tessaging	Class	NoHandlerForTessageTypeException	Compze.Tessaging\Implementation\TessageHandling\Dispatching\NoHandlerForTessageTypeException.cs
Compze.Tessaging	Class	InboxRegistrar	Compze.Tessaging\Implementation\TessageHandling\Inbox\Inbox.cs
Compze.Tessaging	Class	InboxTessageStorage	Compze.Tessaging\Implementation\TessageHandling\Inbox\Inbox.TessageStorage.cs
Compze.Tessaging	Class	TommandSchedulerRegistrar	Compze.Tessaging\Implementation\TommandScheduler.cs
Compze.Tessaging	Class	TessageTypeTranslator	Compze.Tessaging\Implementation\Transport\Abstractions\TessageTypeTranslator.cs
Compze.Tessaging	Class	AwaitNoTessagesInFlightTimeoutException	Compze.Tessaging\Implementation\Transport\AwaitNoTessagesInFlightTimeoutException.cs
Compze.Tessaging	Class	HttpTransportMessagePoster	Compze.Tessaging\Implementation\Transport\Client\Implementation\Http\HttpTransportMessagePoster.cs
Compze.Tessaging	Interface	IHttpClientFactoryCE	Compze.Tessaging\Implementation\Transport\Client\Implementation\Http\IHttpClientFactoryCE.cs
Compze.Tessaging	Class	HttpClientFactoryCE	Compze.Tessaging\Implementation\Transport\Client\Implementation\Http\IHttpClientFactoryCE.cs
Compze.Tessaging	Class	FailedToExtractProblemDetailsException	Compze.Tessaging\Implementation\Transport\Client\Implementation\Http\ProblemDetails.cs
Compze.Tessaging	Class	MemoryInboxTransportServer	Compze.Tessaging\Implementation\Transport\Client\Implementation\Memory\MemoryInboxTransportServer.cs
Compze.Tessaging	Class	MemoryTransportMessagePoster	Compze.Tessaging\Implementation\Transport\Client\Implementation\Memory\MemoryTransportMessagePoster.cs
Compze.Tessaging	Class	TessagingConnection	Compze.Tessaging\Implementation\Transport\Client\Implementation\Universal\TessagingConnection.cs
Compze.Tessaging	Class	TessagingRouter	Compze.Tessaging\Implementation\Transport\Client\Implementation\Universal\TessagingRouter.cs
Compze.Tessaging	Class	TypermediaConnection	Compze.Tessaging\Implementation\Transport\Client\Implementation\Universal\TypermediaConnection.cs
Compze.Tessaging	Class	TypermediaRouter	Compze.Tessaging\Implementation\Transport\Client\Implementation\Universal\TypermediaRouter.cs
Compze.Tessaging	Class	AppConfigEndpointRegistry	Compze.Tessaging\Implementation\Transport\Client\Routing\AppConfigEndpointRegistry.cs
Compze.Tessaging	Class	NullOpTessagesInFlightTracker	Compze.Tessaging\Implementation\Transport\TessagesInFlightTracker.cs
Compze.Tessaging	Class	BackgroundExceptionReporterRegistrar	Compze.Tessaging\SystemCE\ThreadingCE\BackgroundExceptionReporter.cs
Compze.Tessaging	Class	BackgroundExceptionReporterExtensions	Compze.Tessaging\SystemCE\ThreadingCE\IBackgroundExceptionReporter.Extensions.cs
Compze.Tessaging	Class	TaskRunnerRegistrar	Compze.Tessaging\SystemCE\ThreadingCE\TaskRunner.cs
Compze.Tessaging	Class	LocalHypermediaNavigatorRegistrar	Compze.Tessaging\Typermedia\InProcessTypermediaNavigator.cs
Compze.Tessaging	Class	InProcessTypermediaNavigator	Compze.Tessaging\Typermedia\InProcessTypermediaNavigator.cs
Compze.Tessaging.Hosting.Testing	Class	Performance	Compze.Tessaging.Hosting.Testing\TestEnv.Performance.cs
Compze.Tessaging.Hosting.Testing	Class	DummyConfigurationParameterProviderRegistrar	Compze.Tessaging.Hosting.Testing\Wiring\DummyConfigurationParameterProviderRegistrar.cs
Compze.Tessaging.Hosting.Testing	Class	TestingComponentRegistrarClientTransport	Compze.Tessaging.Hosting.Testing\Wiring\TestingComponentRegistrar.ClientTransport.cs
Compze.Tessaging.Hosting.Testing	Class	TestingComponentRegistrarSerializer	Compze.Tessaging.Hosting.Testing\Wiring\TestingComponentRegistrar.Serializer.cs
Compze.Tessaging.Hosting.Testing	Class	TestingComponentRegistrarTestingComponentsRegistrar	Compze.Tessaging.Hosting.Testing\Wiring\TestingComponentRegistrar.TestingComponentsRegistrar.cs
